Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brazil;BRA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 6.701,21 ; 6.909,92 ; 6.915,31 ; 7.287,08 ; 7.712,67 ; 8.090,89 ; 8.288,18 ; 8.582,07 ; 8.575,87 ; 8.611,90 ; 9.060,79 ; 9.260,77 ; 9.568,06 ; 9.733,77 ; 10.445,34 ; 10.988,96 ; 11.642,44 ; 12.549,93 ; 13.312,76 ; 13.269,12 ; 14.299,55 ; 15.040,06 ; 15.046,29 ; 15.588,73 ; 15.718,57 ; 14.744,11 ; 14.256,16 ; 14.519,85 ; 14.940,67 ; 15.258,85 
Barbados;BRB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 9.579,68 ; 9.482,19 ; 9.112,08 ; 9.366,74 ; 9.721,58 ; 10.084,89 ; 10.634,17 ; 11.282,23 ; 11.784,12 ; 11.944,81 ; 12.704,94 ; 12.630,66 ; 12.887,73 ; 13.368,45 ; 13.873,85 ; 14.815,96 ; 16.098,09 ; 16.820,41 ; 17.190,95 ; 16.374,69 ; 16.127,81 ; 16.304,38 ; 15.310,01 ; 15.334,72 ; 15.175,50 ; 15.510,82 ; 15.952,07 ; 15.788,82 ; 16.044,73 ; 16.286,98 
Brunei Darussalam;BRN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 55.913,65 ; 57.945,70 ; 60.345,09 ; 60.249,59 ; 61.767,23 ; 64.188,12 ; 65.587,41 ; 64.190,99 ; 63.097,46 ; 64.533,31 ; 66.439,34 ; 68.350,53 ; 70.716,76 ; 72.755,73 ; 73.808,53 ; 75.213,76 ; 79.772,68 ; 81.013,42 ; 80.036,11 ; 78.297,71 ; 80.277,55 ; 83.935,01 ; 88.247,73 ; 83.787,06 ; 81.373,02 ; 62.541,68 ; 56.296,02 ; 60.995,68 ; 61.813,90 ; 64.673,30 
Bhutan;BTN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 1.507,33 ; 1.540,84 ; 1.648,82 ; 1.727,62 ; 1.854,31 ; 2.016,80 ; 2.140,61 ; 2.251,94 ; 2.357,82 ; 2.522,47 ; 2.696,35 ; 2.923,13 ; 3.229,55 ; 3.480,09 ; 3.723,43 ; 4.056,18 ; 4.412,47 ; 5.302,71 ; 5.608,48 ; 5.972,92 ; 6.693,51 ; 7.295,84 ; 7.912,13 ; 7.989,66 ; 8.666,42 ; 9.500,77 ; 10.457,20 ; 11.142,40 ; 11.613,16 ;
Botswana;BWA;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 5.682,07 ; 6.124,06 ; 6.270,32 ; 6.375,62 ; 6.583,56 ; 7.022,21 ; 7.388,85 ; 7.953,38 ; 7.897,11 ; 8.597,68 ; 8.784,19 ; 8.830,92 ; 9.347,83 ; 9.790,97 ; 10.144,54 ; 10.733,22 ; 11.742,52 ; 12.780,64 ; 13.552,62 ; 12.366,54 ; 13.352,30 ; 14.252,71 ; 13.590,52 ; 14.707,70 ; 16.300,84 ; 15.547,18 ; 17.260,26 ; 17.253,23 ; 18.050,25 ; 18.502,82 
Central African Republic;CAF;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 635,44 ; 637,01 ; 593,04 ; 591,75 ; 616,02 ; 655,89 ; 624,60 ; 652,44 ; 674,28 ; 692,20 ; 674,44 ; 704,22 ; 725,62 ; 684,96 ; 730,75 ; 745,57 ; 789,21 ; 831,61 ; 849,94 ; 916,19 ; 958,92 ; 1.012,66 ; 1.102,03 ; 738,48 ; 720,32 ; 787,01 ; 851,07 ; 912,80 ; 955,13 ; 984,03 
Canada;CAN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 20.150,79 ; 20.145,93 ; 20.550,63 ; 21.363,63 ; 22.555,34 ; 23.403,48 ; 23.963,97 ; 25.167,31 ; 26.220,44 ; 27.745,81 ; 29.265,73 ; 30.107,88 ; 30.853,20 ; 32.219,43 ; 33.795,68 ; 36.211,08 ; 37.995,00 ; 39.451,32 ; 40.275,99 ; 38.794,93 ; 40.019,21 ; 41.569,45 ; 42.290,97 ; 44.298,58 ; 45.753,75 ; 44.671,44 ; 46.480,47 ; 48.633,83 ; 50.077,80 ; 51.341,71 
Central Europe and the Baltics;CEB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 7.087,47 ; 6.644,20 ; 6.676,42 ; 6.947,48 ; 7.384,19 ; 7.966,23 ; 8.369,21 ; 8.686,45 ; 9.079,74 ; 9.378,92 ; 10.003,90 ; 10.786,29 ; 11.611,06 ; 12.306,56 ; 13.450,81 ; 14.288,17 ; 15.881,34 ; 17.717,76 ; 19.650,63 ; 19.689,31 ; 20.750,04 ; 22.153,15 ; 22.972,83 ; 23.970,93 ; 24.984,97 ; 26.091,07 ; 27.753,14 ; 29.927,55 ; 31.739,73 ; 34.136,19 
Switzerland;CHE;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 27.586,76 ; 27.907,51 ; 28.218,17 ; 28.588,81 ; 29.335,25 ; 29.893,96 ; 30.526,44 ; 31.805,13 ; 32.918,50 ; 33.814,08 ; 35.763,01 ; 36.778,37 ; 37.718,30 ; 37.713,96 ; 39.170,18 ; 40.572,26 ; 45.098,81 ; 49.742,72 ; 52.584,73 ; 51.808,25 ; 53.107,39 ; 56.183,83 ; 57.849,58 ; 60.108,52 ; 61.902,16 ; 63.938,98 ; 65.720,15 ; 67.139,05 ; 69.357,49 ; 70.989,26 
Channel Islands;CHI;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 4.511,17 ; 4.952,54 ; 5.622,78 ; 6.119,38 ; 6.568,78 ; 7.351,83 ; 8.011,57 ; 8.637,33 ; 8.995,77 ; 8.977,12 ; 9.553,57 ; 9.972,65 ; 10.333,06 ; 10.841,32 ; 11.812,63 ; 12.746,58 ; 15.753,96 ; 16.941,84 ; 16.501,81 ; 16.159,61 ; 18.161,80 ; 20.342,57 ; 21.507,71 ; 22.439,28 ; 22.786,66 ; 22.688,01 ; 22.710,02 ; 23.663,89 ; 24.765,23 ; 25.154,99 
China;CHN;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 982,34 ; 1.094,90 ; 1.263,47 ; 1.455,94 ; 1.662,22 ; 1.862,55 ; 2.063,22 ; 2.269,19 ; 2.450,95 ; 2.653,90 ; 2.920,52 ; 3.210,08 ; 3.534,83 ; 3.937,21 ; 4.425,66 ; 5.053,76 ; 5.836,28 ; 6.810,29 ; 7.574,13 ; 8.307,82 ; 9.253,76 ; 10.299,87 ; 11.197,60 ; 11.923,75 ; 12.549,77 ; 12.978,77 ; 13.572,62 ; 14.344,42 ; 15.602,94 ; 16.784,66 
Cote d'Ivoire;CIV;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 2.053,97 ; 2.049,11 ; 2.017,25 ; 1.989,76 ; 1.979,55 ; 2.094,28 ; 2.224,56 ; 2.275,40 ; 2.343,42 ; 2.348,93 ; 2.291,44 ; 2.289,13 ; 2.236,33 ; 2.199,90 ; 2.239,75 ; 2.300,12 ; 2.354,29 ; 2.406,78 ; 2.460,25 ; 2.501,73 ; 2.522,36 ; 2.404,04 ; 2.626,07 ; 2.828,40 ; 3.127,48 ; 4.652,89 ; 4.726,98 ; 4.830,75 ; 5.147,59 ; 5.455,36 
